416.48;1768.7;128.65;2;Smoke CT on B Plant;-48.07;65.35;800;0;0;0;0;0;450;0
-79.45;1330.01;106.77;2;B Plant 1 (FNATIC);-36.52;66.62;800;0;0;0;0;0;450;0
721.26;49.05;94.28;2;Short;-36.35;55.47;800;0;0;0;0;0;450;0
1912.797729;2621.056885;244.500916;2;Smoke Construction Retake;-38.61;158.63;800;0;0;0;0;0;450;0
-79.448692;1330.03125;106.771469;2;Banana (Logs) to Spools;-11.005769;69.318787;800;0;1;0;1;0;450;0
2032.023682;2975.97583;133.090286;2;CT Spawn to B Entrance;-38.131714;-154.727448;800;0;0;0;0;0;450;0
151.96875;3063.995117;160.093811;2;Dark to B Entrance;-8.019628;-40.489166;800;0;0;0;0;0;450;0
386.385803;2537.66333;160.093811;2;C2 to B Entrance;-26.500118;-19.823505;800;0;0;0;0;0;450;0
2479.925293;-16.031250;98.300232;2;Pit (Oneway);0.098992;-132.038345;800;0;0;0;0;0;450;0
2129.03125;1917.96875;128.093811;2;CT Spawn to T;-46.826851;-121.514229;800;0;0;0;0;0;450;0
1329.921631;2977.21875;144.343811;2;Ruins to Banana;-30.755987;-129.919357;800;0;0;0;0;0;450;0
2643.637207;-337.03125;90.823151;2;Pit (Oneway);-17.044886;171.898758;800;0;0;0;0;0;450;0
2631.96875;-16.03125;84.093811;2;Pit (Oneway);-5.692367;-179.12886;800;0;0;0;0;0;450;0
1913.227295;1225.96875;174.093811;2;Arch to Balcony;-46.497322;-87.005005;800;0;0;0;0;0;450;0
1971.687988;2636.702393;128.093811;2;Well to Fountain;-39.996227;175.975357;800;0;0;0;0;0;450;0
2110.925537;-319.9888;292.093811;2;Balcony (Oneway);-16.187532;130.413361;800;0;0;0;0;0;450;0
875.96875;2481.443359;145.093811;2;Bombsite B to Banana (Deep);-23.992226;-125.139305;800;0;0;0;0;0;450;0
122.978165;1593.462891;113.031250;2;Banana (Logs) to CT Spawn;-34.798424;56.149929;800;0;0;0;0;0;450;0
491.936829;-267.96875;88.093811;2;2nd Middle to Long;-42.024933;45.854645;800;0;0;0;0;0;450;0
295.990173;644.004761;20.093811;2;Underpass to Short;-22.455982;-11.856322;800;0;0;0;0;0;450;0
338.871887;1650.802856;122.093811;2;Banana to Spools;-50.093639;84.572739;800;0;0;0;0;0;450;0
-874.629822;507.576660;-32.031250;2;T Spawn to Mid;-8.848992;-0.368756;100;0;1;0;1;0;450;0
726.000305;246.549271;91.627228;2;2nd Middle to Long;-30.079454;40.926552;800;0;0;0;0;0;450;0
361.207794;1795.970947;125.613968;2;Banana to CT Spawn;-32.027519;58.743397;800;0;0;0;0;0;450;0
726.010803;186.011993;97.527359;2;2nd Middle to Arch;-46.349754;45.800774;800;0;0;0;0;0;450;0
