1408.46;63.65;-112.90266;2;Window;-27.55;-166;250;1;1;0;6;75;0
1408.46;63.65;-112.90266;2;Catwalk;-32;-162.3;250;0;0;0;0;0;0
1455.96875;-104.03125;-147.96875;2;Window;-25;-169.55;250;1;1;0;20;85;0
-253.97;-2134.08;-172.95;2;Triple Boxes (Oneway);10;113.65;75;0;0;0;0;0;0
1148.4000244141;-1183.9599609375;-205.57000732422;2;Stairs;-43.6;-164.8;250;0;0;0;0;0;0
1066;-1032;-260.17;2;CT (Anti-sniper);-29.7;-144.8;250;0;1;0;0;0;0
871.53;-1036;-251.96875;2;CT (Anti-sniper);-14.1;-142.2;250;0;1;0;0;0;0
815.96;-1457.56;-108.96;2;Conector + Jungle;-28.16;-175.27;250;0;0;0;0;0;0
761.39;-1212;-108.96;2;Conector;-52.27;-174.78;250;0;0;0;0;0;0
1338.59;-916.53;-167.96;2;Firebox;-35.5;-150;250;0;1;0;0;0;0
1382.45;-629.91;-167.96;2;Site;-19;-140.56;250;0;1;0;2;0;0
1239.99;-1023.97;-258.97;2;Site;-18.38;-149.65;250;0;1;0;0;0;0
1239.59;-1159.774;-246.383;2;Jungle;-47;-172.3;250;0;1;0;0;0;0
-784;623.97;-75.968;2;Kitchen Door;-61;-151.5;250;0;1;0;0;0;0
-595.41;520;-83.02;2;Balcony;-50.2;171.48;250;0;0;0;0;0;0
-1120;-796;-167.97;2;Window (Oneway);8.23;85.8;250;0;0;0;0;0;0
-148.03125;353.01239013672;-34.427696228027;2;Alley to B Default;-46;178.95;250;0;1;0;0;0;0
1257.86;-871.97;-143.97;2;T Spawn to CT;-21.82;-144.34;250;0;1;0;0;0;0
-190.94;696;-71.97;2;Alley to Truck;-21;179.6;250;0;1;0;0;0;0
-1208.4221191406;-875.61444091797;-167.96875;2;Window (Oneway);-48.214;66.405;250;0;0;0;0;0;0
-160;887.97;-135.33;2;Kitchen Window;-50.38;-146.49;250;0;1;0;0;0;0
-160;887.97;-135.33;2;Kitchen Door;-43;-152.88;250;0;1;0;0;0;0
